task_id,page_url,page_domain,category,category_label,priority,finding,evidence,fix,owner,timeline,estimated_hours,status
SEO-019,https://threeriversinspection.com/,threeriversinspection.com,readability,Readability,Warning,⚠️ Thin content (299 words) — may rank poorly,,,Content / SEO,Month 1,1.0,Open
SEO-020,https://threeriversinspection.com/,threeriversinspection.com,robots,Robots & Crawlers,Warning,"⚠️ 4 AI crawlers not explicitly managed: ChatGPT-User, PerplexityBot, anthropic-ai, FacebookBot",,,Technical SEO,Month 1,1.0,Open
SEO-021,https://threeriversinspection.com/,threeriversinspection.com,security,Security Headers,Warning,⚠️ 2 security header(s) missing,,,Web Engineering,Month 1,1.0,Open
SEO-022,https://threeriversinspection.com/,threeriversinspection.com,social,Social Meta,Warning,"⚠️ og:title is too long (70 chars, max 60)",,,Content / SEO,Month 1,1.0,Open
SEO-023,https://threeriversinspection.com/,threeriversinspection.com,social,Social Meta,Warning,"⚠️ og:description is too long (421 chars, max 200)",,,Content / SEO,Month 1,1.0,Open
SEO-024,https://threeriversinspection.com/,threeriversinspection.com,entity,Entity SEO,Info,No Wikipedia article found for 'Three Rivers Inspections and Engineering'.,,Pursue notability through press coverage and third-party references. Wikipedia articles significantly boost Knowledge Panel eligibility.,Content / SEO,Month 2-3,0.5,Open
SEO-025,https://threeriversinspection.com/,threeriversinspection.com,entity,Entity SEO,Info,Missing sameAs link to Twitter/X (Strong KG signal).,,Add 'x.com' profile URL to sameAs array in your entity schema.,Content / SEO,Month 2-3,0.5,Open
SEO-026,https://threeriversinspection.com/,threeriversinspection.com,entity,Entity SEO,Info,Could not verify sameAs URL: https://www.linkedin.com/in/russell-kowalik-23b8058/,,Manually confirm this URL is accessible and correct.,Content / SEO,Month 2-3,0.5,Open
SEO-027,https://threeriversinspection.com/,threeriversinspection.com,environment,Environment / Platform,Info,Performance measurement incomplete,"PageSpeed API returned an error, so CWV recommendations are less reliable.",Rerun `pagespeed.py` with `--api-key` and then prioritize LCP/INP/CLS fixes from that output.,Web Engineering,Month 2-3,0.5,Open
SEO-028,https://threeriversinspection.com/,threeriversinspection.com,internal_links,Internal Links,Info,Add internal links pointing to orphan pages from related content,,Add internal links pointing to orphan pages from related content,Technical SEO,Month 2-3,0.5,Open
SEO-029,https://threeriversinspection.com/,threeriversinspection.com,readability,Readability,Info,Simplify vocabulary and shorten sentences,,Simplify vocabulary and shorten sentences,Content / SEO,Month 2-3,0.5,Open
SEO-030,https://threeriversinspection.com/,threeriversinspection.com,readability,Readability,Info,Break long paragraphs into smaller ones,,Break long paragraphs into smaller ones,Content / SEO,Month 2-3,0.5,Open
SEO-031,https://threeriversinspection.com/,threeriversinspection.com,readability,Readability,Info,Rewrite the flagged long sentences below using the suggested replacements.,,Rewrite the flagged long sentences below using the suggested replacements.,Content / SEO,Month 2-3,0.5,Open
SEO-032,https://threeriversinspection.com/,threeriversinspection.com,security,Security Headers,Info,Content-Security-Policy (CSP): Add a Content-Security-Policy header restricting script/style sources.,,Content-Security-Policy (CSP): Add a Content-Security-Policy header restricting script/style sources.,Web Engineering,Month 2-3,0.5,Open
SEO-033,https://threeriversinspection.com/,threeriversinspection.com,security,Security Headers,Info,"Permissions-Policy: Add header: Permissions-Policy: camera=(), microphone=(), geolocation=()",,"Permissions-Policy: Add header: Permissions-Policy: camera=(), microphone=(), geolocation=()",Web Engineering,Month 2-3,0.5,Open
